"Survived","Sex","Age","FamilySize","FareAdj","FamilyOneSurvived","FamilyAllDied"
0,0,0.275,0.181818181818182,0.0326576576576577,0,1
1,1,0.475,0.181818181818182,0.160547972972973,0,0
1,1,0.325,0.0909090909090909,0.0356981981981982,0,0
1,1,0.4375,0.181818181818182,0.119594594594595,0,1
0,0,0.4375,0.0909090909090909,0.0362612612612613,1,0
0,0,0.366603053435115,0.0909090909090909,0.0381004504504504,1,0
0,0,0.675,0.0909090909090909,0.116807432432432,0,0
0,0,0.025,0.454545454545455,0.0189864864864865,0,1
1,1,0.3375,0.272727272727273,0.0167166666666667,1,0
1,1,0.175,0.181818181818182,0.067727027027027,0,1
1,1,0.05,0.272727272727273,0.0250750750750751,1,0
1,1,0.725,0.0909090909090909,0.119594594594595,0,0
0,0,0.25,0.0909090909090909,0.0362612612612613,0,0
0,0,0.4875,0.636363636363636,0.0201254826254826,1,0
0,1,0.175,0.0909090909090909,0.0353792792792793,0,0
1,1,0.6875,0.0909090909090909,0.0720720720720721,0,0
0,0,0.025,0.545454545454545,0.0218656156156156,0,1
1,0,0.41969696969697,0.0909090909090909,0.0585585585585586,0,1
0,1,0.3875,0.181818181818182,0.0405405405405405,0,1
1,1,0.366603053435115,0.0909090909090909,0.032545045045045,0,0
0,0,0.4375,0.0909090909090909,0.0585585585585586,0,0
1,0,0.425,0.0909090909090909,0.0585585585585586,0,0
1,1,0.1875,0.0909090909090909,0.0361675675675676,0,0
1,0,0.35,0.0909090909090909,0.15990990990991,0,0
0,1,0.1,0.454545454545455,0.0189864864864865,0,1
1,1,0.475,0.636363636363636,0.0201978764478764,1,0
0,0,0.366603053435115,0.0909090909090909,0.032545045045045,0,0
0,0,0.2375,0.545454545454545,0.197447447447447,1,0
1,1,0.268465909090909,0.0909090909090909,0.0354918918918919,0,0
0,0,0.366603053435115,0.0909090909090909,0.0355666666666667,0,0
0,0,0.5,0.0909090909090909,0.124868468468468,0,0
1,1,0.525324074074074,0.181818181818182,0.220001201201201,0,0
1,1,0.268465909090909,0.0909090909090909,0.0349099099099099,0,0
0,0,0.825,0.0909090909090909,0.0472972972972973,0,0
0,0,0.35,0.181818181818182,0.185069369369369,1,0
0,0,0.525,0.181818181818182,0.117117117117117,1,0
1,0,0.366603053435115,0.0909090909090909,0.032563963963964,0,0
0,0,0.2625,0.0909090909090909,0.0362612612612613,0,0
0,1,0.225,0.272727272727273,0.0405405405405405,0,1
1,1,0.175,0.181818181818182,0.0253191441441441,1,0
0,1,0.5,0.181818181818182,0.0426801801801802,0,0
0,1,0.3375,0.181818181818182,0.0472972972972973,0,1
0,0,0.366603053435115,0.0909090909090909,0.0355666666666667,0,0
1,1,0.0375,0.363636363636364,0.0468234234234234,1,0
1,1,0.2375,0.0909090909090909,0.0354918918918919,0,0
0,0,0.366603053435115,0.0909090909090909,0.0362612612612613,0,0
0,0,0.366603053435115,0.181818181818182,0.0349099099099099,0,0
1,1,0.268465909090909,0.0909090909090909,0.0349099099099099,0,0
0,0,0.366603053435115,0.272727272727273,0.0325513513513514,0,0
0,1,0.225,0.181818181818182,0.0400900900900901,0,1
0,0,0.0875,0.545454545454545,0.0255389317889318,0,1
0,0,0.2625,0.0909090909090909,0.0351351351351351,0,0
1,1,0.6125,0.181818181818182,0.115209009009009,1,0
1,1,0.3625,0.181818181818182,0.0585585585585586,0,0
0,0,0.8125,0.181818181818182,0.139592792792793,0,0
1,0,0.525324074074074,0.0909090909090909,0.15990990990991,0,0
1,1,0.2625,0.0909090909090909,0.0472972972972973,0,0
0,0,0.35625,0.0909090909090909,0.032563963963964,0,0
1,1,0.0625,0.363636363636364,0.03125,1,0
0,0,0.1375,0.727272727272727,0.0264076576576577,0,1
0,0,0.275,0.0909090909090909,0.032563963963964,0,0
1,1,0.475,0.0909090909090909,0.18018018018018,0,0
0,0,0.5625,0.181818181818182,0.188006756756757,1,0
0,0,0.05,0.545454545454545,0.0209459459459459,0,1
0,0,0.525324074074074,0.0909090909090909,0.124868468468468,0,0
1,0,0.0805989583333333,0.272727272727273,0.0228915915915916,1,0
1,1,0.3625,0.0909090909090909,0.0472972972972973,0,0
0,0,0.2375,0.0909090909090909,0.0367490990990991,0,0
1,1,0.2125,0.636363636363636,0.0356981981981982,1,0
0,0,0.325,0.272727272727273,0.0390202702702703,0,0
0,0,0.4,0.0909090909090909,0.0472972972972973,0,0
0,1,0.2,0.727272727272727,0.0264076576576577,0,1
0,0,0.2625,0.0909090909090909,0.0472972972972973,0,0
0,0,0.325,0.181818181818182,0.0325545045045045,0,0
1,0,0.4,0.0909090909090909,0.0318106981981982,0,0
0,0,0.3125,0.0909090909090909,0.0344594594594595,0,0
0,0,0.366603053435115,0.0909090909090909,0.0355666666666667,0,0
0,0,0.366603053435115,0.0909090909090909,0.0362612612612613,0,0
1,0,0.010375,0.272727272727273,0.0435435435435435,1,0
1,1,0.375,0.0909090909090909,0.0280968468468468,0,0
0,0,0.275,0.0909090909090909,0.0405405405405405,0,0
1,0,0.3625,0.0909090909090909,0.0427927927927928,0,0
1,1,0.268465909090909,0.0909090909090909,0.0350788288288288,0,0
0,0,0.35,0.0909090909090909,0.106081081081081,0,0
1,1,0.2125,0.0909090909090909,0.0472972972972973,0,0
1,1,0.4125,0.363636363636364,0.0356981981981982,0,1
0,0,0.2,0.454545454545455,0.0309684684684685,0,1
0,0,0.366603053435115,0.0909090909090909,0.0362612612612613,0,0
1,1,0.2875,0.545454545454545,0.197447447447447,1,0
0,0,0.3,0.0909090909090909,0.0362612612612613,0,0
0,0,0.3625,0.0909090909090909,0.0362612612612613,0,0
0,0,0.25,0.0909090909090909,0.0353792792792793,0,0
0,0,0.575,0.181818181818182,0.137781531531532,0,0
0,0,0.325,0.363636363636364,0.023170045045045,1,0
0,0,0.7375,0.0909090909090909,0.0326576576576577,0,0
0,0,0.366603053435115,0.0909090909090909,0.0362612612612613,0,0
0,0,0.8875,0.0909090909090909,0.1561,0,0
1,0,0.2875,0.181818181818182,0.142698873873874,0,0
1,1,0.425,0.181818181818182,0.0518018018018018,1,0
0,0,0.425,0.181818181818182,0.0585585585585586,1,0
0,1,0.35,0.0909090909090909,0.0355666666666667,0,0
0,0,0.366603053435115,0.0909090909090909,0.0355666666666667,0,1
0,0,0.2625,0.181818181818182,0.174070945945946,0,1
0,0,0.4125,0.0909090909090909,0.0389828828828829,0,1
0,0,0.4625,0.272727272727273,0.0356981981981982,0,1
0,0,0.35,0.0909090909090909,0.0355666666666667,0,0
1,1,0.2625,0.0909090909090909,0.0344594594594595,0,0
1,0,0.366603053435115,0.0909090909090909,0.0350225225225225,0,0
0,0,0.475,0.0909090909090909,0.0355666666666667,0,0
1,1,0.268465909090909,0.181818181818182,0.0362612612612613,0,1
0,0,0.5875,0.0909090909090909,0.117117117117117,0,0
0,1,0.18125,0.181818181818182,0.0325545045045045,0,1
0,0,0.275,0.0909090909090909,0.0362612612612613,0,0
0,1,0.25,0.181818181818182,0.0442567567567568,1,0
0,1,0.2125,0.0909090909090909,0.0325637387387387,0,1
0,0,0.2625,0.0909090909090909,0.0356981981981982,0,0
0,0,0.88125,0.0909090909090909,0.0349099099099099,0,0
0,0,0.3625,0.181818181818182,0.0472972972972973,0,1
0,0,0.3,0.181818181818182,0.371652852852853,1,0
0,1,0.025,0.636363636363636,0.0201254826254826,1,0
0,0,0.2625,0.272727272727273,0.0472972972972973,0,1
0,0,0.366603053435115,0.0909090909090909,0.0362612612612613,0,0
0,0,0.40625,0.181818181818182,0.067727027027027,1,0
1,1,0.40625,0.0909090909090909,0.0585585585585586,0,1
0,0,0.675,0.181818181818182,0.174070945945946,0,1
1,0,0.15,0.181818181818182,0.0253191441441441,1,0
0,0,0.366603053435115,0.0909090909090909,0.0349099099099099,0,0
1,0,0.3,0.0909090909090909,0.0321698198198198,0,0
1,1,0.0805989583333333,0.272727272727273,0.033571021021021,1,0
0,0,0.5625,0.0909090909090909,0.0314189189189189,0,0
0,0,0.4125,0.0909090909090909,0.0355666666666667,0,0
0,0,0.25,0.0909090909090909,0.0317567567567568,0,0
0,1,0.5875,0.181818181818182,0.0326576576576577,0,0
1,1,0.3625,0.181818181818182,0.0585585585585586,0,0
0,0,0.3125,0.0909090909090909,0.0585585585585586,0,0
0,0,0.2875,0.0909090909090909,0.0677738738738739,0,0
1,1,0.2375,0.272727272727273,0.118393243243243,0,0
0,0,0.4625,0.181818181818182,0.119594594594595,1,0
0,0,0.2,0.0909090909090909,0.0207583333333333,0,0
0,0,0.3,0.0909090909090909,0.178378378378378,0,0
0,1,0.366603053435115,0.272727272727273,0.0228915915915916,0,1
1,1,0.275,0.0909090909090909,0.0349099099099099,0,0
1,1,0.3,0.181818181818182,0.0356981981981982,0,1
0,0,0.2375,0.0909090909090909,0.0304054054054054,0,0
0,0,0.225,0.0909090909090909,0.0518018018018018,0,0
0,0,0.2375,0.272727272727273,0.0413851351351351,0,0
1,0,0.3375,0.0909090909090909,0.0351162162162162,1,0
0,1,0.1125,0.454545454545455,0.0309684684684685,0,1
0,0,0.45625,0.272727272727273,0.039039039039039,1,0
0,0,0.525,0.0909090909090909,0.0585585585585586,0,0
0,0,0.6375,0.0909090909090909,0.0564189189189189,0,0
